sort,family_scientific,family_english,AM,AMR,E,EX,HIST,IO,MM,N,NR,NRR,OM,PM,PMR,RAR,RS,SO,VIO,VM,VN,VO,VP,VSO,VSA,red_list,status_birdlife,water_bird,strict_water_bird,ADU,common_name,scientific_name,avibaseid,wikiDataID,iNaturalisttaxonID,IUCNtaxonID,ObservationorgID,GBIFID,Clements--code,Clements--rank,Clements--scientific_name,Clements--common_name,H&M--sort,,,,,
68,Columbidae,Pigeons and Doves,,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,319,Tambourine Dove,Turtur tympanistria,7308278F0D6F820F,Q1272497,3328,22690635,72468,5231790,tamdov1,species,Turtur tympanistria,Tambourine Dove,016-003-019-004,,,,,
69,Columbidae,Pigeons and Doves,,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,318,Namaqua Dove,Oena capensis,DDC2CC929B5547C5,Q151851,3652,22690645,9022,2495342,namdov1,species,Oena capensis,Namaqua Dove,016-003-020-001,,,,,
70,Pteroclidae,Sandgrouse,,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,1960,Chestnut-bellied Sandgrouse,Pterocles exustus,F5DE9155D65FAB81,Q127903,117083,22692990,72874,2480197,chbsan,species,Pterocles exustus,Chestnut-bellied Sandgrouse,017-001-002-003,,,,,
71,Pteroclidae,Sandgrouse,,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,309,Yellow-throated Sandgrouse,Pterocles gutturalis,8B6EA5FA0BB8387B,Q128042,117084,22692998,,2480201,yetsan1,species,Pterocles gutturalis,Yellow-throated Sandgrouse,017-001-002-006,,,,,
72,Pteroclidae,Sandgrouse,,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,1958,Black-faced Sandgrouse,Pterocles decoratus,70AFED2CE4A85F60,Q127898,117082,22693013,72880,2480196,blfsan1,species,Pterocles decoratus,Black-faced Sandgrouse,017-001-002-008,,,,,
73,Pteroclidae,Sandgrouse,,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,1962,Lichtenstein's Sandgrouse,Pterocles lichtensteinii,F3715F7BC58BC842,Q127895,117086,22693028,,2480198,licsan1,species,Pterocles lichtensteinii,Lichtenstein's Sandgrouse,017-001-002-010,,,,,
74,Pteroclidae,Sandgrouse,,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,1968,Four-banded Sandgrouse,Pterocles quadricinctus,461482EA51EE8ACB,Q127880,117090,22693021,72882,2480203,fobsan1,species,Pterocles quadricinctus,Four-banded Sandgrouse,017-001-002-012,,,,,
75,Otididae, Bustards,,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,227,Black-bellied Bustard,Lissotis melanogaster,562F44567F8A4AC2,Q429477,144472,22692007,,2474850,bkbbus1,species,Lissotis melanogaster,Black-bellied Bustard,037-001-002-001,,,,,
76,Otididae, Bustards,,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,1906,Hartlaub's Bustard,Lissotis hartlaubii,402E74010E3AC297,Q427834,144473,22692011,,2474848,harbus2,species,Lissotis hartlaubii,Hartlaub's Bustard,037-001-002-002,,,,,
77,Otididae, Bustards,,,,,,,,,,,,,,,,,,,,,,,,Near Threatened,Rare/Accidental,,,1894,Arabian Bustard,Ardeotis arabs,6A39447923373997,Q623791,109,22691924,72697,2474904,arabus1,species,Ardeotis arabs,Arabian Bustard,037-001-003-001,,,,,
78,Otididae, Bustards,,,,,,,,,,,,,,,,,,,,,,,,Near Threatened,,,,217,Kori Bustard,Ardeotis kori,4FC41CA0DC1B12AF,Q686287,115,22691928,72698,2474909,korbus1,species,Ardeotis kori,Kori Bustard,037-001-003-002,,,,,
79,Otididae, Bustards,,,,,,,,,,,,,,,,,,,,,,,,Near Threatened,,,,219,Denham’s Bustard,Ardeotis denhami ,4FDBC0CBCDE078A0,Q773787,85,22691905,,2474874,stabus1,species,Neotis denhami,Denham's Bustard,037-001-003-006,,,,,
80,Otididae, Bustards,,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,1910,Heuglin’s Bustard,Ardeotis heuglinii,4971D1EF9AC3BBBE,Q1273206,90,22691920,,2474873,heubus1,species,Neotis heuglinii,Heuglin's Bustard,037-001-003-007,,,,,
81,Otididae, Bustards,,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,1900,Buff-crested Bustard,Lophotis gindiana,968D57F966060F79,Q22111228,72853,,,2474881,bucbus1,species,Eupodotis gindiana,Buff-crested Bustard,037-001-008-002,,,,,
82,Otididae, Bustards,,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,222,White-bellied Bustard,Eupodotis senegalensis,3B2870146A7CF1B2,Q795984,95,22691996,72709,2474890,whbbus2,species,Eupodotis senegalensis,White-bellied Bustard,037-001-009-001,,,,,
83,Cuculidae,Cuckoos and Coucals,,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,353,Black Coucal,Centropus grillii,DB09507DAF8069D1,Q864806,1685,22684249,71281,5232013,blacou1,species,Centropus grillii,Black Coucal,030-004-001-022,,,,,
84,Cuculidae,Cuckoos and Coucals,,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,1628,Blue-headed Coucal,Centropus monachus,7C879D6DBEB96890,Q1123893,1653,22684276,71287,5231993,blhcou2,species,Centropus monachus,Blue-headed Coucal,030-004-001-014,,,,,
